OC-AK-Ko,
W,R
1.453,0.1278069
1.454,0.1280648
1.455,0.1275101
1.456,0.1272964
1.457,0.1277223
1.458,0.1278523
1.459,0.1286968
1.46,0.1274236
1.461,0.1276306
1.462,0.1277785
1.463,0.12788
1.464,0.1282423
1.465,0.1282972
1.466,0.1278897
1.467,0.1279288
1.468,0.1283373
1.469,0.1283367
1.47,0.127822
1.471,0.1279885
1.472,0.1277957
1.473,0.1276905
1.474,0.1282526
1.475,0.1282997
1.476,0.1279443
1.477,0.1279057
1.478,0.1281265
1.479,0.1282777
1.48,0.1285858
1.481,0.1283205
1.482,0.1281498
1.483,0.128231
1.484,0.1282809
1.485,0.1281262
1.486,0.1282137
1.487,0.1284883
1.488,0.1281663
1.489,0.1280611
1.49,0.1283143
1.491,0.1282202
1.492,0.1285983
1.493,0.1282694
1.494,0.128116
1.495,0.128461
1.496,0.1283755
1.497,0.1281863
1.498,0.1285677
1.499,0.128033
1.5,0.1285015
1.501,0.1285919
1.502,0.1286197
1.503,0.1285101
1.504,0.1286721
1.505,0.128796
1.506,0.1289528
1.507,0.1293585
1.508,0.1294069
1.509,0.1288622
1.51,0.1290985
1.511,0.1288902
1.512,0.128646
1.513,0.1287636
1.514,0.1287961
1.515,0.1287751
1.516,0.1285517
1.517,0.1286681
1.518,0.1290054
1.519,0.1292521
1.52,0.1291201
1.521,0.1290789
1.522,0.1288251
1.523,0.1287036
1.524,0.128953
1.525,0.1285583
1.526,0.1285589
1.527,0.1288202
1.528,0.1289195
1.529,0.1287903
1.53,0.1294023
1.531,0.1288604
1.532,0.1284171
1.533,0.1289113
1.534,0.1286839
1.535,0.1287051
1.536,0.1288566
1.537,0.128793
1.538,0.1285477
1.539,0.1288363
1.54,0.1291176
1.541,0.1290568
1.542,0.1287394
1.543,0.1290114
1.544,0.1285162
1.545,0.1290373
1.546,0.1288675
1.547,0.129202
1.548,0.1287965
1.549,0.128622
1.55,0.1283841
1.551,0.128756
1.552,0.1290518
1.553,0.1289338
1.554,0.1280459
1.555,0.1285733
1.556,0.1286483
1.557,0.1289674
1.558,0.128625
1.559,0.1287625
1.56,0.1285525
1.561,0.1289707
1.562,0.128417
1.563,0.128444
1.564,0.1281469
1.565,0.1287095
1.566,0.1287003
1.567,0.1285088
1.568,0.1286095
1.569,0.1282967
1.57,0.1288208
1.571,0.1288423
1.572,0.1281129
1.573,0.1286269
1.574,0.128668
1.575,0.1283141
1.576,0.1281031
1.577,0.1282913
1.578,0.1282645
1.579,0.128407
1.58,0.1279559
1.581,0.1281393
1.582,0.1283468
1.583,0.1286403
1.584,0.1277477
1.585,0.1279009
1.586,0.1280031
1.587,0.1285899
1.588,0.1279384
1.589,0.1276952
1.59,0.127675
1.591,0.128064
1.592,0.1278851
1.593,0.1278181
1.594,0.127677
1.595,0.1278445
1.596,0.1273938
1.597,0.1277877
1.598,0.1277257
1.599,0.1274692
1.6,0.1273494
1.601,0.1271531
1.602,0.127595
1.603,0.1277227
