KC-OPX-hevn_4,
W,R
1.3581,0.48454
1.361,0.48286
1.3639,0.48121
1.3667,0.48014
1.3696,0.47987
1.3725,0.47961
1.3754,0.47825
1.3784,0.47604
1.3813,0.47411
1.3843,0.47278
1.3872,0.47127
1.3902,0.46904
1.3932,0.46676
1.3962,0.46535
1.3992,0.46494
1.4022,0.46483
1.4053,0.46449
1.4083,0.46404
1.4114,0.46321
1.4145,0.46177
1.4176,0.46033
1.4207,0.45942
1.4238,0.45885
1.4269,0.45805
1.4301,0.45672
1.4333,0.45501
1.4364,0.4534
1.4396,0.45207
1.4428,0.4506
1.4461,0.44872
1.4493,0.44674
1.4525,0.4448
1.4558,0.44278
1.4591,0.44099
1.4624,0.43947
1.4657,0.43776
1.469,0.43578
1.4724,0.43396
1.4757,0.43226
1.4791,0.43018
1.4825,0.42754
1.4859,0.42459
1.4893,0.42195
1.4927,0.42012
1.4962,0.41869
1.4996,0.41701
1.5031,0.41503
1.5066,0.41304
1.5101,0.41112
1.5136,0.40894
1.5172,0.40646
1.5207,0.40434
1.5243,0.40274
1.5279,0.40094
1.5315,0.39873
1.5352,0.39648
1.5388,0.39421
1.5425,0.3918
1.5461,0.38945
1.5498,0.38722
1.5536,0.38504
1.5573,0.38299
1.561,0.38101
1.5648,0.37912
1.5686,0.37727
1.5724,0.37535
1.5762,0.37338
1.5801,0.37144
1.5839,0.3694
1.5878,0.3671
1.5917,0.36455
1.5957,0.36186
1.5996,0.35939
1.6036,0.35725
1.6075,0.35545
1.6115,0.35391
1.6155,0.35259
1.6196,0.35132
1.6236,0.34986
1.6277,0.34792
1.6318,0.34559
1.6359,0.34344
1.6401,0.3416
1.6443,0.33975
1.6484,0.33802
1.6526,0.33682
1.6569,0.33598
1.6611,0.33487
1.6654,0.33327
1.6697,0.33152
1.674,0.33004
1.6783,0.3285
1.6827,0.32641
1.6871,0.32424
1.6915,0.32268
1.6959,0.32156
1.7004,0.32028
1.7048,0.31876
1.7093,0.31728
1.7138,0.31593
1.7184,0.31481
1.723,0.31381
1.7276,0.31261
1.7322,0.31122
1.7368,0.30974
1.7415,0.30805
1.7462,0.30669
1.7509,0.30614
1.7556,0.30587
1.7604,0.30551
1.7652,0.30509
1.77,0.30443
1.7749,0.30359
1.7798,0.30297
1.7847,0.30262
1.7896,0.30251
1.7946,0.30254
1.7995,0.3023
1.8046,0.30162
1.8096,0.30081
1.8147,0.30022
1.8198,0.29993
1.8249,0.29974
1.83,0.29922
1.8352,0.29841
1.8404,0.29781
1.8457,0.29773
1.851,0.298
1.8563,0.29817
1.8616,0.2979
1.867,0.29734
1.8724,0.29777
1.8778,0.29973
1.8832,0.30179
1.8887,0.30293
1.8943,0.30333
1.8998,0.30365
1.9054,0.30453
1.911,0.30583
1.9167,0.307
1.9224,0.30799
1.9281,0.30926
1.9338,0.31105
1.9396,0.3133
1.9454,0.31569
1.9513,0.31784
1.9572,0.31972
1.9631,0.32186
1.9691,0.32437
1.9751,0.32678
1.9811,0.32901
1.9872,0.33105
1.9933,0.33302
1.9995,0.33493
2.0057,0.33751
2.0119,0.34075
2.0182,0.34432
2.0245,0.34756
2.0308,0.35049
2.0372,0.35352
2.0436,0.35679
2.0501,0.3601
2.0566,0.36328
2.0632,0.36648
2.0698,0.37
2.0764,0.37423
2.0831,0.379
2.0898,0.38386
2.0966,0.38826
2.1034,0.39218
2.1102,0.39618
2.1171,0.401
2.124,0.40618
