BRU_LE2CPX,
W,R
1.575,0.788637
1.576,0.78833
1.577,0.788664
1.578,0.789287
1.579,0.788941
1.58,0.788642
1.581,0.789505
1.582,0.78991
1.583,0.790222
1.584,0.791221
1.585,0.792418
1.586,0.793092
1.587,0.792674
1.588,0.792268
1.589,0.792144
1.59,0.79248
1.591,0.792636
1.592,0.792674
1.593,0.792294
1.594,0.792512
1.595,0.79301
1.596,0.7932
1.597,0.793578
1.598,0.793681
1.599,0.793638
1.6,0.79364
1.601,0.793815
1.602,0.79411
1.603,0.794001
1.604,0.794303
1.605,0.794959
1.606,0.794909
1.607,0.794833
1.608,0.79499
1.609,0.794956
1.61,0.794749
1.611,0.795
1.612,0.795909
1.613,0.796269
1.614,0.796381
1.615,0.796243
1.616,0.796022
1.617,0.795989
1.618,0.796477
1.619,0.796528
1.62,0.796943
1.621,0.796825
1.622,0.796403
1.623,0.796951
1.624,0.79722
1.625,0.797656
1.626,0.798178
1.627,0.798176
1.628,0.798022
1.629,0.798114
1.63,0.798257
1.631,0.797924
1.632,0.798337
1.633,0.798409
1.634,0.798415
1.635,0.799209
1.636,0.799091
1.637,0.798727
1.638,0.798731
1.639,0.799195
1.64,0.799455
1.641,0.799683
1.642,0.799866
1.643,0.799364
1.644,0.799623
1.645,0.799929
1.646,0.800258
1.647,0.800586
1.648,0.800268
1.649,0.800884
1.65,0.800225
1.651,0.800242
1.652,0.800195
1.653,0.800539
1.654,0.800801
1.655,0.800973
1.656,0.801193
1.657,0.800703
1.658,0.800951
1.659,0.80088
1.66,0.800764
1.661,0.801427
1.662,0.801146
1.663,0.801886
1.664,0.801974
1.665,0.801602
1.666,0.801813
1.667,0.801574
1.668,0.801902
1.669,0.802654
1.67,0.801901
1.671,0.801921
1.672,0.801913
1.673,0.802167
1.674,0.801866
1.675,0.802274
1.676,0.802656
1.677,0.802588
1.678,0.802794
1.679,0.803262
1.68,0.802629
1.681,0.803016
1.682,0.803817
1.683,0.803717
1.684,0.803306
1.685,0.80311
1.686,0.804003
1.687,0.804345
1.688,0.804535
1.689,0.803618
1.69,0.804278
1.691,0.803393
1.692,0.803702
1.693,0.804512
1.694,0.804195
1.695,0.804063
1.696,0.80415
1.697,0.804527
1.698,0.804782
1.699,0.803053
1.7,0.804469
1.701,0.804254
1.702,0.804365
1.703,0.805053
1.704,0.80517
1.705,0.80528
1.706,0.804988
1.707,0.804848
1.708,0.80427
1.709,0.804929
1.71,0.805043
1.711,0.804275
1.712,0.805536
1.713,0.80508
1.714,0.804828
1.715,0.806703
1.716,0.806634
1.717,0.804451
1.718,0.805422
1.719,0.805877
1.72,0.805963
1.721,0.806201
1.722,0.805913
1.723,0.80704
1.724,0.807039
1.725,0.805457
1.726,0.806202
1.727,0.806101
1.728,0.804838
1.729,0.805304
1.73,0.8052
1.731,0.805675
1.732,0.805797
1.733,0.806353
1.734,0.805124
1.735,0.805159
1.736,0.805549
1.737,0.806219
1.738,0.805383
1.739,0.804886
1.74,0.805759
1.741,0.80617
1.742,0.806035
1.743,0.805127
1.744,0.804353
1.745,0.804807
1.746,0.804946
1.747,0.804113
1.748,0.803519
1.749,0.803644
1.75,0.805357
1.751,0.804304
1.752,0.804536
1.753,0.804878
1.754,0.804885
1.755,0.803776
1.756,0.803021
1.757,0.802966
1.758,0.802821
1.759,0.802961
1.76,0.803137
1.761,0.803198
1.762,0.802741
1.763,0.802794
1.764,0.803277
1.765,0.802766
1.766,0.802682
1.767,0.803274
1.768,0.80346
1.769,0.803809
1.77,0.803879
1.771,0.803689
1.772,0.802604
1.773,0.803043
1.774,0.803533
1.775,0.803711
1.776,0.804173
1.777,0.80335
1.778,0.803299
1.779,0.802262
1.78,0.802769
1.781,0.803046
1.782,0.80249
1.783,0.802762
1.784,0.80197
1.785,0.801115
1.786,0.802211
1.787,0.802566
1.788,0.801728
1.789,0.801436
1.79,0.801409
1.791,0.801102
1.792,0.801182
1.793,0.802117
1.794,0.801981
